"Sample_ID","Lactobacillus","Gardnerella","Bifidobacterium","Atopobium","Prevotella","Megasphaera","Aerococcus","Streptococcus","Anaerococcus","Dialister","Ureaplasma","Finegoldia","Clostridium","Shuttleworthia","Genus_Other","Staphylococcus","Chlamydia","Veillonella","Enterococcus","Campylobacter","Fusobacterium","Peptostreptococcus","Bacteroides"
"A35",69.2172264355363,13.6782231852654,2.35644637053088,0.284398699891658,12.3374864572048,0.392741061755146,0,0,0,1.57096424702058,0,0,0,0,0,0.0812567713976165,0,0.0812567713976165,0,0,0,0,0
"A36",98.6995575814452,0.790990749430219,0,0.254725834562274,0.201099343075479,0.0536264914867945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A37",99.4116639058662,0.222768035642886,0,0.0856800137088022,0.102816016450563,0.0913920146227223,0,0,0.0285600045696007,0,0,0,0,0,0.0571200091392014,0,0,0,0,0,0,0,0
"A38",99.4893144601721,0.0277546489036914,0,0,0,0,0.0333055786844296,0,0,0,0,0,0,0,0.4496253122398,0,0,0,0,0,0,0,0
"A39",98.1151832460733,1.0261780104712,0.167539267015707,0.418848167539267,0,0.146596858638743,0,0.12565445026178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4",97.6432486297957,1.1858495266567,0.0597907324364724,0.219232685600399,0.568011958146487,0.134529147982063,0.0398604882909816,0,0,0.0348779272546089,0.0448430493273543,0.0149476831091181,0.0548081714000997,0,0,0,0,0,0,0,0,0,0
"A40",99.5544153389144,0,0,0,0.135025654874426,0.0945179584120983,0.0675128274372131,0.0540102619497705,0.0540102619497705,0,0,0,0,0,0,0.0405076964623278,0,0,0,0,0,0,0
"A41",99.7211736444749,0.124399450926561,0,0.0514756348661634,0.0257378174330817,0,0.0214481811942347,0.0128689087165408,0,0.0128689087165408,0,0,0,0,0.0214481811942347,0,0,0,0,0.00857927247769389,0,0,0
"A42",99.4845903018828,0.115704217944672,0,0,0.12622278321237,0.120963500578521,0.0262964131692437,0,0,0,0.0683706742400337,0,0,0,0.0578521089723362,0,0,0,0,0,0,0,0
"A45",99.4896246054664,0.355919683030018,0,0.0402927943052851,0,0,0,0,0,0,0,0,0,0,0.114162917198308,0,0,0,0,0,0,0,0
"A46",30.8340727595386,30.5777383417135,0,1.49857044266982,20.3391501528147,14.5814847678202,0,0,0.0295770482105886,1.43941634624864,0.0246475401754905,0,0.162673765158237,0,0.512668835650203,0,0,0,0,0,0,0,0
"A47",99.6021036606463,0.114178949553664,0,0.0761192997024427,0.0207598090097571,0.0449795861878071,0,0,0,0,0.0968791087121998,0,0,0,0.0449795861878071,0,0,0,0,0,0,0,0
"A48",95.8308104835222,3.55505579102154,0,0.116771905544503,0,0.0129746561716115,0.0216244269526858,0.0302741977337601,0.0821728224202059,0.0216244269526858,0.198944727964709,0.0389239685148344,0,0,0.0475737392959087,0.0259493123432229,0,0,0,0,0,0,0.0172995415621486
"A49",98.8886402625494,0.35056313865891,0,0.108152457671366,0.309539792645633,0.0335645558290445,0.0447527411053927,0.0522115312896248,0.10442306257925,0.0559409263817409,0,0,0,0,0.0335645558290445,0,0,0,0,0.0186469754605803,0,0,0
"A5",98.0457472795914,0.260937153009105,0,0.0499666888740839,0.260937153009105,0.0222074172773706,0,0.033311125916056,0.266489007328448,0.0444148345547413,0.016655562958028,0.460803908505441,0,0,0.449700199866755,0,0,0,0,0.0499666888740839,0,0.0388629802353986,0
"A50",99.5514569806468,0.319939776042157,0,0.0313666447100154,0.0439133025940215,0,0.0250933157680123,0,0,0,0.0188199868260092,0.00940999341300461,0,0,0,0,0,0,0,0,0,0,0
"A51",69.3237001065972,28.5562004027005,0,0.153973706028663,0.515219708634372,0.0947530498637925,0.0355323936989222,0,0.201350230960559,0,0.373090133838683,0.153973706028663,0,0,0.509297643017885,0,0,0,0,0.0177661968494611,0,0.0414544593154092,0.0236882624659481
"A52",99.0327184312067,0.544426238173265,0,0.174427823880755,0.169142132248005,0,0,0,0,0.0264284581637507,0.0264284581637507,0.0264284581637507,0,0,0,0,0,0,0,0,0,0,0
"A53",96.0861391215177,0.222184242009913,0,0.153819859853017,0.188002050931465,0.0683643821568963,0,0,0,0,0,0,0.0683643821568963,0,3.21312596137412,0,0,0,0,0,0,0,0
"A54",97.0857618651124,0.368740335434757,0,0.0475793981206138,0.0356845485904603,0.0713690971809207,0,0.0713690971809207,0.0594742476507672,0,1.7128583323421,0.0713690971809207,0,0,0.273581539193529,0.178422742952302,0,0,0,0,0,0.0237896990603069,0
"A55",62.6134301270417,36.9371705124881,0,0.103707544723879,0.112349840117535,0,0.0950652493302221,0,0,0.0345691815746262,0,0.103707544723879,0,0,0,0,0,0,0,0,0,0,0
"A56",99.6265627536938,0,0,0.178600422146452,0,0,0,0,0,0,0,0,0,0,0.194836824159766,0,0,0,0,0,0,0,0
"A61",71.7027907635642,27.2984842045616,0,0,0.191245218869528,0,0,0,0,0,0.37540728148463,0,0,0.0708315625442697,0.32582518770364,0,0,0,0,0.0354157812721349,0,0,0
"A62",1.95707070707071,53.6300505050505,0,22.2537878787879,0.0789141414141414,0,16.8323863636364,0.110479797979798,0,4.87689393939394,0.0473484848484848,0,0,0,0.157828282828283,0,0,0.055239898989899,0,0,0,0,0
"A64",51.8578352180937,8.22563274098007,0,0.457727517501346,1.92514808831449,15.0915455035003,0.713516424340334,0,0,0.14808831448573,0,0,0,20.9612277867528,0.619278406031233,0,0,0,0,0,0,0,0
"A65",97.7664481670308,0.75260985676135,0.169944161204176,0.364166059723234,0.242777373148823,0,0.291332847778587,0,0.145666423889294,0.169944161204176,0.097110949259529,0,0,0,0,0,0,0,0,0,0,0,0
"A66",33.4885430707021,41.7840950863865,0,4.58277171915206,4.96262712902831,6.95993138095822,6.05930645754197,0,0,0.147040803823061,0.061267001592942,0,0.0673937017522362,0,1.88702364906262,0,0,0,0,0,0,0,0
"A67",9.12061174834898,79.367396593674,0.0695168578380257,9.65589155370177,0.278067431352103,0.0625651720542232,0.139033715676051,0,0,1.05665623913799,0.166840458811262,0.0347584289190129,0.0278067431352103,0,0.0208550573514077,0,0,0,0,0,0,0,0
"A69",99.235657058661,0.27626853301409,0,0.0828805599042269,0,0.0460447555023483,0,0,0,0,0,0.0644626577032876,0,0,0.294686435215029,0,0,0,0,0,0,0,0
"A7",22.4308300395257,40.5208921513269,0,8.90739695087521,4.89130434782609,0.190570299265951,13.4669678147939,0.0282326369282891,0.211744776962168,0.86815358554489,0,0.670525127046866,0,0,7.7639751552795,0,0.0494071146245059,0,0,0,0,0,0
"A70",97.251258226868,0,0.193573364305072,0.561362756484708,0.212930700735579,0,0,0,0.0967866821525358,0,0.600077429345722,0,0,0,1.0840108401084,0,0,0,0,0,0,0,0
"A71",99.0792391961825,0.255393507628201,0.0873714631359634,0.0470461724578265,0.282277034746959,0.0739296995765844,0,0.0336044088984475,0,0,0,0,0,0.0739296995765844,0.053767054237516,0,0,0,0,0.013441763559379,0,0,0
"A72",99.5036737871636,0.0875869787358279,0,0.111916695051336,0.0827210354727264,0,0.0778550922096248,0,0,0,0,0,0,0,0.136246411366843,0,0,0,0,0,0,0,0
"A73",98.6304357307978,0.414358616478388,0,0.0872333929428185,0.122126750119946,0.0261700178828456,0.0654250447071139,0,0.0218083482357046,0,0.510315348715488,0.0348933571771274,0,0.0305316875299865,0,0.056701705412832,0,0,0,0,0,0,0
"A74",70.9639179076832,0.0592724309105727,4.67140846113951,5.53826776320664,10.5801289175372,0,5.71238052900645,0.0777950655701267,0.303771208416685,0.396384381714455,0,0.863154775135215,0,0,0.833518559679928,0,0,0,0,0,0,0,0
"A75",99.4713021187968,0.228301357792286,0,0.116153322385549,0.0720951656186166,0.0680898786398045,0,0,0,0,0.0160211479152481,0.00801057395762406,0,0.0120158609364361,0.00801057395762406,0,0,0,0,0,0,0,0
"A76",99.2185631129894,0.661829200223268,0,0.09568614942987,0,0,0.0239215373574675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A77",99.4618454468497,0.223727173781594,0,0.0846535252146572,0.0544201233522796,0,0,0,0,0,0.163260370056839,0,0,0,0.012093360744951,0,0,0,0,0,0,0,0
"A79",99.4348001614857,0,0.0302785627775535,0.0370071322836765,0.252321356479612,0,0.0168214237653075,0.006728569506123,0.026914278024492,0,0.0302785627775535,0.114385681604091,0,0,0.0302785627775535,0,0,0,0,0,0.020185708518369,0,0
"A80",99.4540109197816,0.272994540109198,0,0.160996780064399,0,0.0769984600307994,0.0349993000139997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1",99.380068786888,0.169844167975882,0,0.0424610419939705,0.0721837713897499,0.0424610419939705,0.0594454587915587,0,0.0339688335951764,0,0.0509532503927646,0.080675979788544,0,0,0.0679376671903529,0,0,0,0,0,0,0,0
"B10",3.40740740740741,49.989417989418,0,30.0952380952381,0.317460317460317,0,15.8518518518519,0,0,0.148148148148148,0,0.126984126984127,0,0,0,0,0,0,0,0,0.0634920634920635,0,0
